2021-09-19 22:34:26:971 140485513459520 wwhttpsvr/wwhttprequest.cpp:HttpRequest() at row 20:  fd_ = 3, 
2021-09-19 22:34:26:982 140485513459520 wwhttpsvr/wwepoll.cpp:Epoll() at row 18:  epollFd_ = 4, 
2021-09-19 22:34:31:148 140485513459520 wwhttpsvr/wwhttprequest.cpp:HttpRequest() at row 20:  fd_ = 5, 
2021-09-19 22:34:31:158 140485513459520 wwhttpsvr/wwhttprequest.cpp:HttpRequest() at row 20:  fd_ = 6, 
2021-09-19 22:34:31:168 140485488277248 wwhttpsvr/wwhttprequest.cpp:read() at row 31:  *savedErrno = 0, 
2021-09-19 22:34:31:178 140485488277248 wwhttpsvr/wwhttpresponse.cpp:makeResponse() at row 56:  path_.data() = /home/ubuntu/Cloud-Computing/protobuf/wwfrontendsvr/index.html, 
2021-09-19 22:34:31:188 140485496669952 wwhttpsvr/wwhttprequest.cpp:write() at row 38:  *savedErrno = 0, 
2021-09-19 22:34:31:682 140485505062656 wwhttpsvr/wwhttprequest.cpp:read() at row 31:  *savedErrno = 0, 
2021-09-19 22:34:31:692 140485505062656 wwhttpsvr/wwhttpresponse.cpp:makeResponse() at row 56:  path_.data() = /home/ubuntu/Cloud-Computing/protobuf/wwfrontendsvr/index.html, 
2021-09-19 22:34:31:702 140485513455360 wwhttpsvr/wwhttprequest.cpp:write() at row 38:  *savedErrno = 0, 
2021-09-19 22:34:32:122 140485488277248 wwhttpsvr/wwhttprequest.cpp:read() at row 31:  *savedErrno = 0, 
2021-09-19 22:34:32:132 140485488277248 wwhttpsvr/wwhttpresponse.cpp:makeResponse() at row 56:  path_.data() = /home/ubuntu/Cloud-Computing/protobuf/wwfrontendsvr/index.html, 
2021-09-19 22:34:32:141 140485496669952 wwhttpsvr/wwhttprequest.cpp:write() at row 38:  *savedErrno = 0, 
2021-09-19 22:34:32:158 140485513459520 wwhttpsvr/wwhttprequest.cpp:HttpRequest() at row 20:  fd_ = 6, 
2021-09-19 22:34:32:561 140485513455360 wwhttpsvr/wwhttprequest.cpp:read() at row 31:  *savedErrno = 1428167440, 
2021-09-19 22:34:32:570 140485513455360 wwhttpsvr/wwhttpresponse.cpp:makeResponse() at row 56:  path_.data() = /home/ubuntu/Cloud-Computing/protobuf/wwfrontendsvr/index.html, 
2021-09-19 22:34:32:580 140485505062656 wwhttpsvr/wwhttprequest.cpp:write() at row 38:  *savedErrno = 32709, 
